,stage1-step5000,stage1-step7000,stage1-step9000,stage1-step10000,stage1-step15000,stage1-step20000,stage1-step30000,stage1-step50000,stage1-step99000,stage1-step100000,stage1-step150000,stage1-step200000,stage1-step250000,stage1-step297000,stage1-step350000,stage1-step450000,stage1-step500000,stage1-step550000,stage1-step650000,stage1-step707000,stage1-step1000000,stage1-step1004000,stage1-step1413814,stage2-step1000,stage2-step5000,stage2-step10000,stage2-step20000,stage2-step30000,stage2-step40000,stage2-step47684,stage3-step1000,stage3-step11921,main
stage1-step150000,0.35371077060699463,0.43402165174484253,0.5044370889663696,0.5743433237075806,0.6105080842971802,0.6760673522949219,0.7316054105758667,0.7684797644615173,0.8533546924591064,0.8489209413528442,1.0000009536743164,0.8850536942481995,0.8528090715408325,0.8290350437164307,0.8159080743789673,0.7792716026306152,0.7587360739707947,0.7329413890838623,0.7143436670303345,0.7136010527610779,0.6489186882972717,0.6727234125137329,0.6422113180160522,0.5964256525039673,0.6283829808235168,0.6243683099746704,0.6207223534584045,0.6419029831886292,0.6051164865493774,0.613935112953186,0.6459067463874817,0.6506248712539673,0.6512840390205383
stage1-step200000,0.3683871924877167,0.44079479575157166,0.4936028718948364,0.5669630169868469,0.6080775856971741,0.6553124189376831,0.7206883430480957,0.7422915101051331,0.8310329914093018,0.8196285367012024,0.8850536942481995,1.0000014305114746,0.8810970187187195,0.8701542019844055,0.8578317165374756,0.8051671385765076,0.7852108478546143,0.7781084179878235,0.7699487209320068,0.7545203566551208,0.6980650424957275,0.7082135081291199,0.6783639192581177,0.6035722494125366,0.6664718985557556,0.6477791666984558,0.6540984511375427,0.6749359369277954,0.6395189762115479,0.6481789946556091,0.6677696108818054,0.6771208643913269,0.6779667139053345
stage1-step250000,0.35662996768951416,0.4014319181442261,0.4768467843532562,0.5341886281967163,0.5614845156669617,0.6212035417556763,0.6837953329086304,0.7148329019546509,0.7730219960212708,0.7877782583236694,0.8528090715408325,0.8810970187187195,1.000001072883606,0.8913214802742004,0.8787556886672974,0.8393151760101318,0.8109895586967468,0.8076355457305908,0.7746183276176453,0.773446798324585,0.7185161709785461,0.7363901734352112,0.699606716632843,0.6334344744682312,0.6860967874526978,0.6599617004394531,0.6712239980697632,0.6893488168716431,0.6578980684280396,0.6690971255302429,0.682104229927063,0.691153883934021,0.6917000412940979
stage1-step297000,0.33624064922332764,0.41185832023620605,0.4643724262714386,0.5280905961990356,0.5562877058982849,0.6145761013031006,0.6604281663894653,0.6831549406051636,0.75797438621521,0.7632676362991333,0.8290350437164307,0.8701542019844055,0.8913214802742004,1.0000007152557373,0.9011578559875488,0.8714209198951721,0.8464503884315491,0.8491177558898926,0.8342519402503967,0.817909836769104,0.7643281817436218,0.7854796648025513,0.7518739700317383,0.6706312894821167,0.7293310761451721,0.6985596418380737,0.7155206799507141,0.7357014417648315,0.7022101879119873,0.7144523859024048,0.712655782699585,0.7271093130111694,0.7288153767585754
stage1-step350000,0.30817657709121704,0.3865588307380676,0.44652608036994934,0.5070742964744568,0.5446192026138306,0.6031154990196228,0.6593385934829712,0.6825098991394043,0.7494813799858093,0.7534680366516113,0.8159080743789673,0.8578317165374756,0.8787556886672974,0.9011578559875488,1.0000009536743164,0.8800374269485474,0.865753173828125,0.8670289516448975,0.8415480852127075,0.8356332778930664,0.7765630483627319,0.8014053106307983,0.7671967148780823,0.6692655682563782,0.7373344302177429,0.7215571999549866,0.7338898777961731,0.7517232894897461,0.7280389070510864,0.7356531620025635,0.7296233177185059,0.7503040432929993,0.7507742047309875
stage1-step450000,0.2829969525337219,0.35202765464782715,0.43636655807495117,0.49153754115104675,0.5110176801681519,0.5645442008972168,0.6201826333999634,0.6328399181365967,0.7092368602752686,0.6992995738983154,0.7792716026306152,0.8051671385765076,0.8393151760101318,0.8714209198951721,0.8800374269485474,1.0000007152557373,0.8973356485366821,0.885382354259491,0.8821862936019897,0.8688238263130188,0.8102501630783081,0.844117283821106,0.8089745044708252,0.7301886677742004,0.7745085954666138,0.7453168034553528,0.770718514919281,0.800171434879303,0.7603545784950256,0.7679142355918884,0.7568350434303284,0.7847765684127808,0.7861284017562866
stage1-step500000,0.2756475806236267,0.3474428951740265,0.4157578945159912,0.4652320146560669,0.49143338203430176,0.5567532777786255,0.5992951393127441,0.6153867244720459,0.6834168434143066,0.684326708316803,0.7587360739707947,0.7852108478546143,0.8109895586967468,0.8464503884315491,0.865753173828125,0.8973356485366821,1.0000014305114746,0.8918687105178833,0.8787233829498291,0.8769866228103638,0.8339827060699463,0.861093282699585,0.8342399597167969,0.738640308380127,0.7906141877174377,0.7666922807693481,0.7811057567596436,0.8104897737503052,0.7731037139892578,0.7856358289718628,0.7757315635681152,0.8028636574745178,0.8030496835708618
stage1-step550000,0.26652029156684875,0.34030014276504517,0.39732617139816284,0.4549330472946167,0.4821532964706421,0.5376698970794678,0.5764961242675781,0.5913481712341309,0.6578824520111084,0.6609600782394409,0.7329413890838623,0.7781084179878235,0.8076355457305908,0.8491177558898926,0.8670289516448975,0.885382354259491,0.8918687105178833,1.0000011920928955,0.8962303400039673,0.8936150074005127,0.8563964366912842,0.8827924132347107,0.8525785207748413,0.7362267971038818,0.8063222169876099,0.7713442444801331,0.7933163642883301,0.8204249143600464,0.7977879047393799,0.8122930526733398,0.7818399667739868,0.8094984292984009,0.810492992401123
stage1-step650000,0.262667715549469,0.3368980884552002,0.3881140947341919,0.4538320302963257,0.4807698726654053,0.5156878232955933,0.5677592754364014,0.5729954242706299,0.6645870208740234,0.6505085229873657,0.7143436670303345,0.7699487209320068,0.7746183276176453,0.8342519402503967,0.8415480852127075,0.8821862936019897,0.8787233829498291,0.8962303400039673,1.0000009536743164,0.9135407209396362,0.8759157657623291,0.8917544484138489,0.8661638498306274,0.7383147478103638,0.8147855997085571,0.7845771312713623,0.8088420629501343,0.8366692066192627,0.7916576862335205,0.7984111309051514,0.7982046604156494,0.8178672194480896,0.8187788724899292
stage1-step707000,0.27806466817855835,0.3343070149421692,0.3773402273654938,0.43356457352638245,0.4650163948535919,0.5137878656387329,0.5489467978477478,0.5702381134033203,0.6414849758148193,0.6447888612747192,0.7136010527610779,0.7545203566551208,0.773446798324585,0.817909836769104,0.8356332778930664,0.8688238263130188,0.8769866228103638,0.8936150074005127,0.9135407209396362,1.000001072883606,0.890469491481781,0.9050890207290649,0.8859537243843079,0.7659512162208557,0.8391326069831848,0.8163701295852661,0.8230354189872742,0.8512576222419739,0.8132643103599548,0.8295023441314697,0.8153789043426514,0.8481705188751221,0.8483736515045166
